full_name,jersey_number,id,first_name,last_name,position,primary_position,played,active,starter,on_court,sr_id,reference,team,opp,year,home_pts,away_pts,W/L,statistics.minutes,statistics.field_goals_made,statistics.field_goals_att,statistics.field_goals_pct,statistics.three_points_made,statistics.three_points_att,statistics.three_points_pct,statistics.two_points_made,statistics.two_points_att,statistics.two_points_pct,statistics.blocked_att,statistics.free_throws_made,statistics.free_throws_att,statistics.free_throws_pct,statistics.offensive_rebounds,statistics.defensive_rebounds,statistics.rebounds,statistics.assists,statistics.turnovers,statistics.steals,statistics.blocks,statistics.assists_turnover_ratio,statistics.personal_fouls,statistics.tech_fouls,statistics.flagrant_fouls,statistics.pls_min,statistics.points,statistics.double_double,statistics.triple_double,statistics.effective_fg_pct,statistics.efficiency,statistics.efficiency_game_score,statistics.fouls_drawn,statistics.offensive_fouls,statistics.points_in_paint,statistics.points_in_paint_att,statistics.points_in_paint_made,statistics.points_in_paint_pct,statistics.points_off_turnovers,statistics.true_shooting_att,statistics.true_shooting_pct,statistics.coach_ejections,statistics.coach_tech_fouls,statistics.second_chance_pts,statistics.second_chance_pct,statistics.fast_break_pts,statistics.fast_break_att,statistics.fast_break_made,statistics.fast_break_pct,statistics.defensive_rating,statistics.offensive_rating,statistics.minus,statistics.plus,statistics.defensive_rebounds_pct,statistics.offensive_rebounds_pct,statistics.rebounds_pct,statistics.steals_pct,statistics.turnovers_pct,statistics.second_chance_att,statistics.second_chance_made,statistics.tech_fouls_non_unsportsmanlike,not_playing_reason,not_playing_description,name_suffix,ejected
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,PF,True,True,True,True,sr:player:608028,2544,Lakers,Trail Blazers,2018-10-19T02:30:00+00:00,128,119,W,37:20,9,16,56.3,0,4,0.0,9,12,75.0,1,8,9,88.9,2,10,12,6,6,1,0,1.0,3,0,0,-4,26,True,False,56.3,33,20.4,6,0,18,12,9,75.0,2,19.96,65.1,0,0,4,100.0,10.0,5.0,4.0,80.0,111.356506177543,109.936382207995,92.0,88.0,24.7252747252747,5.35714285714286,15.4285714285714,1.11067232698193,23.1124807395994,2.0,2.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,PF,True,True,True,True,sr:player:608028,2544,Lakers,Rockets,2018-10-21T02:30:00+00:00,115,124,L,38:52,9,22,40.9,1,7,14.3,8,15,53.3,0,5,7,71.4,0,5,5,5,1,2,1,5.0,0,0,0,-13,24,False,False,43.2,28,18.1,7,0,14,13,7,53.8,0,25.08,47.8,0,0,2,0.0,6.0,3.0,3.0,100.0,110.131884153853,101.472361025156,103.0,90.0,12.8644939965695,0.0,6.30097665138096,2.16285713427438,3.83435582822086,1.0,0.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Spurs,2018-10-23T02:30:00+00:00,142,143,L,42:52,11,25,44.0,2,8,25.0,9,17,52.9,1,8,11,72.7,2,6,8,14,5,1,1,2.8,2,0,0,-6,32,True,False,48.0,39,26.6,8,1,12,13,6,46.2,3,29.84,53.6,0,0,2,0.0,8.0,5.0,3.0,60.0,128.472674790843,115.232688097956,114.0,108.0,15.1394928111213,4.94556765163297,9.99104576087469,1.09687004338914,14.3513203214696,1.0,0.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,False,sr:player:608028,2544,Lakers,Suns,2018-10-25T02:00:00+00:00,113,131,L,28:04,7,16,43.8,1,5,20.0,6,11,54.5,0,4,4,100.0,0,7,7,10,0,3,0,0.0,1,0,0,19,19,True,False,46.9,31,22.3,2,0,8,7,4,57.1,4,17.76,53.5,0,0,2,0.0,2.0,3.0,1.0,33.3,103.712593955726,132.317776299775,63.0,82.0,29.198078256643,0.0,13.7600138910616,4.92183371555626,0.0,0.0,0.0,0.0,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Nuggets,2018-10-26T02:30:00+00:00,121,114,W,34:40,10,17,58.8,1,5,20.0,9,12,75.0,0,7,10,70.0,0,11,11,11,2,3,0,5.5,3,0,0,13,28,True,True,61.8,43,29.7,5,0,16,9,8,88.9,4,21.4,65.4,0,0,2,100.0,10.0,4.0,4.0,100.0,97.9301059092498,135.686304719264,77.0,90.0,35.4203935599284,0.0,17.7101967799642,3.78310214375788,8.54700854700855,1.0,1.0,0.0,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Spurs,2018-10-28T00:30:00+00:00,110,106,W,34:18,13,21,61.9,2,6,33.3,11,15,73.3,0,7,8,87.5,1,10,11,4,4,2,0,1.0,3,0,0,-1,35,True,False,66.7,40,28.4,4,2,14,9,7,77.8,2,24.52,71.4,0,0,2,50.0,8.0,3.0,3.0,100.0,101.91544336623,126.688328050386,76.0,75.0,29.7748278642764,3.18049297641134,16.9160285778362,2.72897213264624,14.0252454417952,2.0,1.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Timberwolves,2018-10-30T00:00:00+00:00,124,120,W,36:16,11,23,47.8,3,6,50.0,8,17,47.1,2,4,5,80.0,3,7,10,8,5,2,2,1.6,2,0,0,-6,29,True,False,54.3,31,24.3,2,0,10,12,5,41.7,4,25.2,57.5,0,0,4,50.0,0.0,2.0,0.0,0.0,114.777112417505,116.401291436638,89.0,83.0,18.1660899653979,8.27205882352941,13.3689839572193,2.49252243270189,16.5562913907285,4.0,2.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Mavericks,2018-11-01T02:30:00+00:00,114,113,W,38:34,11,19,57.9,2,3,66.7,9,16,56.3,1,5,7,71.4,0,5,5,6,3,3,0,2.0,3,0,0,5,29,False,False,63.2,31,23.8,5,1,14,10,7,70.0,8,22.08,65.7,0,0,0,0.0,9.0,6.0,4.0,66.7,104.645003522103,123.891428710833,86.0,91.0,15.1775664606136,0.0,7.87696487196404,3.4777210779722,11.9617224880383,0.0,0.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,True,sr:player:608028,2544,Lakers,Trail Blazers,2018-11-04T02:00:00+00:00,110,114,L,31:21,9,20,45.0,1,5,20.0,8,15,53.3,3,9,11,81.8,0,5,5,7,3,0,2,2.33,1,0,0,-22,28,False,False,47.5,30,21.2,8,0,12,11,6,54.5,2,24.84,56.4,0,0,3,100.0,0.0,1.0,0.0,0.0,102.278352274098,115.034227640599,86.0,64.0,13.4307059514816,0.0,7.6555023923445,0.0,10.7758620689655,1.0,1.0,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,False,sr:player:608028,2544,Lakers,Raptors,2018-11-05T02:30:00+00:00,107,121,L,28:17,6,12,50.0,2,3,66.7,4,9,44.4,0,4,7,57.1,0,2,2,6,3,0,1,2.0,3,0,0,-16,18,False,False,58.3,16,12.1,4,1,6,7,3,42.9,3,15.08,59.7,0,0,2,100.0,2.0,2.0,1.0,50.0,122.719679873152,106.027959670192,85.0,69.0,7.54303359596448,0.0,3.90156910136094,0.0,16.5929203539823,1.0,1.0,,,,,
