full_name,jersey_number,id,first_name,last_name,position,primary_position,played,active,starter,sr_id,team,opp,year,home_pts,away_pts,W/L,statistics.minutes,statistics.field_goals_made,statistics.field_goals_att,statistics.field_goals_pct,statistics.three_points_made,statistics.three_points_att,statistics.three_points_pct,statistics.two_points_made,statistics.two_points_att,statistics.two_points_pct,statistics.blocked_att,statistics.free_throws_made,statistics.free_throws_att,statistics.free_throws_pct,statistics.offensive_rebounds,statistics.defensive_rebounds,statistics.rebounds,statistics.assists,statistics.turnovers,statistics.steals,statistics.blocks,statistics.assists_turnover_ratio,statistics.personal_fouls,statistics.tech_fouls,statistics.flagrant_fouls,statistics.pls_min,statistics.points,injuries,statistics.double_double,statistics.triple_double,statistics.effective_fg_pct,statistics.efficiency,statistics.efficiency_game_score,statistics.fouls_drawn,statistics.offensive_fouls,statistics.points_in_paint,statistics.points_in_paint_att,statistics.points_in_paint_made,statistics.points_in_paint_pct,statistics.points_off_turnovers,statistics.true_shooting_att,statistics.true_shooting_pct,statistics.coach_ejections,statistics.coach_tech_fouls,statistics.second_chance_pts,statistics.second_chance_pct,fouled_out,on_court,reference,statistics.tech_fouls_non_unsportsmanlike,statistics.fast_break_pts,statistics.fast_break_att,statistics.fast_break_made,statistics.fast_break_pct,statistics.defensive_rating,statistics.offensive_rating,statistics.minus,statistics.plus,statistics.defensive_rebounds_pct,statistics.offensive_rebounds_pct,statistics.rebounds_pct,statistics.steals_pct,statistics.turnovers_pct,statistics.second_chance_att,statistics.second_chance_made
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Bulls,2014-11-01T00:00:00+00:00,108,114,L,41:40,14,30,46.7,1,3,33.3,13,27,0.481,3,7,9,77.8,1,7,8,5,3,4,1,1.67,1,0,0,-3.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Trail Blazers,2014-11-05T03:00:00+00:00,101,82,W,34:56,4,12,33.3,2,4,50.0,2,8,0.25,0,1,1,100.0,1,6,7,7,3,1,0,2.33,2,0,0,-15.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Jazz,2014-11-06T02:00:00+00:00,102,100,W,42:02,8,18,44.4,3,5,60.0,5,13,0.385,2,12,12,100.0,0,3,3,4,4,3,0,1.0,2,0,0,3.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Nuggets,2014-11-08T03:30:00+00:00,101,110,L,39:38,8,18,44.4,1,5,20.0,7,13,0.538,0,5,6,83.3,0,7,7,11,3,1,1,3.67,1,0,0,14.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Celtics,2014-11-15T00:30:00+00:00,121,122,L,40:51,16,27,59.3,3,8,37.5,13,19,0.684,1,6,9,66.7,0,4,4,7,3,0,1,2.33,4,0,0,10.0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Wizards,2014-11-22T01:00:00+00:00,91,78,W,39:02,8,21,38.1,2,7,28.6,6,14,0.429,0,4,7,57.1,3,1,4,4,3,1,1,1.33,0,0,0,-13.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Knicks,2014-12-05T01:00:00+00:00,87,90,L,39:31,7,17,41.2,1,6,16.7,6,11,0.545,0,4,7,57.1,1,4,5,12,4,2,0,3.0,2,0,0,12.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Raptors,2014-12-06T00:30:00+00:00,91,105,L,42:27,9,18,50.0,2,4,50.0,7,14,0.5,0,4,6,66.7,0,7,7,13,4,3,1,3.25,2,0,0,11.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Nets,2014-12-09T00:30:00+00:00,88,110,L,33:54,8,17,47.1,1,3,33.3,7,14,0.5,2,1,2,50.0,0,4,4,7,3,3,0,2.33,2,0,0,20.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,True,,sr:player:608028,Cavaliers,Thunder,2014-12-12T01:00:00+00:00,103,94,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Pelicans,2014-12-13T01:00:00+00:00,119,114,W,37:37,17,24,70.8,2,2,100.0,15,22,0.682,1,5,8,62.5,0,5,5,5,2,0,1,2.5,1,0,0,-3.0,41,"[{'id': '088929ab-2142-456f-9b53-ee343ba5a6ba', 'comment': ""James is questionable for Friday's (12/12) game."", 'desc': 'Back', 'status': 'Day To Day', 'start_date': '2014-12-11', 'update_date': '2014-12-12'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Heat,2014-12-25T22:00:00+00:00,101,91,W,40:02,9,16,56.3,2,8,25.0,7,8,0.875,0,10,18,55.6,0,4,4,8,4,0,0,2.0,1,1,0,-9.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Magic,2014-12-27T00:00:00+00:00,89,98,L,36:56,10,20,50.0,0,5,0.0,10,15,0.667,1,9,11,81.8,0,5,5,8,4,2,2,2.0,1,1,0,7.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
