year,game_id,game_date,home_team,away_team,home_name,away_name,home_pts,away_pts
2014,6d67f63b-56d7-4b3a-a9ac-5c9ebc4a0e63,2014-10-29T00:00:00Z,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs,Dallas Mavericks,101,100
2014,d1f5c6e1-c84a-40d0-8e1e-1a7659975102,2014-10-29T00:00:00Z,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,Orlando Magic,101,84
2014,23e50707-f310-4dd9-be4b-4f58dafc4cc1,2014-10-29T02:30:00Z,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers,Houston Rockets,90,108
2014,750e5749-fd29-4036-be1b-9335940fa24f,2014-10-29T23:00:00Z,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,Philadelphia 76ers,103,91
2014,77f6eb93-c97c-4495-9cd8-a7e66174219a,2014-10-29T23:00:00Z,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,Milwaukee Bucks,108,106
2014,143421b5-c747-4f58-9255-94ad0cced273,2014-10-29T23:30:00Z,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat,Washington Wizards,107,95
2014,1a259575-6789-48a8-9470-6bc6af79dd66,2014-10-29T23:30:00Z,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,Brooklyn Nets,121,105
2014,916cdf14-1e26-4400-b3af-dc5351c3fbba,2014-10-29T23:30:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Atlanta Hawks,109,102
2014,a36b828b-494e-49b0-9327-e2e02fe1066d,2014-10-30T00:00:00Z,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,Chicago Bulls,80,104
2014,c9fca390-570d-467b-ba20-390bf53720ff,2014-10-30T00:00:00Z,583eca88-fb46-11e1-82cb-f4ce4684ea4c,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,Minnesota Timberwolves,105,101
2014,9fdde4d4-c639-4ce6-ba75-557a5095a4d4,2014-10-30T01:00:00Z,583ed102-fb46-11e1-82cb-f4ce4684ea4c,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,Detroit Pistons,89,79
2014,baf93e96-4530-4108-bd55-fad540f466b3,2014-10-30T01:00:00Z,583ece50-fb46-11e1-82cb-f4ce4684ea4c,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,Houston Rockets,93,104
2014,37211ff9-46ad-485e-93be-f76a7e69b446,2014-10-30T02:00:00Z,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,Los Angeles Lakers,119,99
2014,f56c9f00-70d3-430a-915e-68ce7397f0f5,2014-10-30T02:00:00Z,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Sacramento Kings,Golden State Warriors,77,95
2014,19261b6b-c0df-4dea-a1b0-478f695107ac,2014-10-30T02:30:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Oklahoma City Thunder,106,89
